4/21/2021 1:21:13 PM Se conecto con ip:168.196.245.137
4/21/2021 1:21:17 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 1:30:30 PM Se conecto con ip:168.196.245.137
4/21/2021 1:30:38 PM /INVISIBLE
4/21/2021 1:30:55 PM /INVISIBLE
4/21/2021 1:32:15 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 1:32:16 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 1:32:20 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 1:32:22 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:19:57 PM Se conecto con ip:168.196.245.137
4/21/2021 3:21:12 PM Se conecto con ip:168.196.245.137
4/21/2021 3:22:06 PM Se conecto con ip:168.196.245.137
4/21/2021 3:22:16 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:22:16 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:22:16 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:22:17 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:22:18 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:22:18 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:22:19 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:22:19 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:22:20 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:22:21 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:22:22 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:22:43 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:23:36 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:23:39 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:23:40 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:23:42 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:23:43 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:23:44 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:23:45 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:23:48 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:23:49 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:23:50 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:23:51 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:23:52 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:23:56 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:23:59 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:00 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:00 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:01 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:03 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:05 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:07 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:09 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:10 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:10 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:11 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:11 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:12 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:13 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:13 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:14 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:14 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:15 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:19 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:19 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:21 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:23 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:25 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:27 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:31 PM /TELEPLOC a x:0 Y:0 Map:1
4/21/2021 3:24:44 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:45 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:45 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:46 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:46 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:47 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:47 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:48 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:48 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:49 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:50 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:50 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:50 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:51 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:52 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:52 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:53 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:53 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:54 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:55 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:55 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:56 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:56 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:57 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:57 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:58 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:58 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:24:59 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:00 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:02 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:02 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:03 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:04 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:04 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:04 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:05 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:05 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:06 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:06 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:07 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:07 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:08 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:09 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:09 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:10 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:10 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:11 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:14 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:15 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:15 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:16 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:16 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:17 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:17 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:17 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:18 PM /TELEPLOC a x:23 Y:106 Map:5
4/21/2021 3:25:23 PM /TELEPLOC a x:23 Y:106 Map:1
